"","age","white","male","pid7","ideo7","educ","income","trustgov"
"167",51,1,0,7,6,2,22,4
"168",55,1,0,3,4,6,13,3
"169",56,0,0,2,6,4,6,2
"170",48,1,0,1,1,8,19,2
"171",55,0,0,3,3,7,22,3
"172",43,0,1,1,2,2,4,2
"173",33,1,0,6,4,3,1,4
"174",68,1,0,7,6,3,11,3
"175",79,1,1,4,4,3,20,2
"176",62,0,1,4,4,7,10,2
"177",64,0,0,5,4,7,17,2
"178",66,1,1,6,5,8,22,2
"179",45,1,0,5,4,2,12,3
"180",61,1,0,3,2,3,7,3
"181",80,1,0,4,5,2,9,4
"182",80,1,0,4,3,6,4,4
"183",25,1,1,2,2,6,1,1
"184",69,1,1,1,2,6,17,2
"185",45,1,0,2,2,7,18,3
"186",38,0,0,2,2,7,15,2
"187",35,0,1,1,4,3,3,3
"188",48,1,0,7,6,6,21,3
"189",40,0,1,2,1,8,22,3
"190",37,1,1,5,3,6,22,2
"191",58,0,0,1,4,4,2,3
"192",68,1,0,7,6,4,7,3
"193",25,1,1,7,7,2,7,3
"194",54,0,0,1,4,3,10,3
"195",51,1,1,7,7,4,11,3
"196",56,1,1,5,6,3,17,1
"197",19,1,0,4,3,3,6,1
"198",62,1,0,2,4,6,22,2
"199",32,1,0,6,4,6,1,3
"200",72,1,0,2,4,6,22,2
"201",66,0,1,1,2,3,4,3
"202",72,1,0,3,4,2,6,3
"203",21,1,1,3,2,6,6,2
"204",78,1,0,5,4,5,10,2
"205",49,0,0,6,6,1,8,2
"206",25,1,1,3,5,6,13,2
"207",30,1,0,5,6,8,6,1
"208",50,1,0,2,2,6,21,2
"209",25,1,0,1,1,6,10,2
"210",64,0,1,7,6,6,20,3
"211",76,1,1,7,7,3,10,3
"212",31,0,1,7,6,3,17,4
"213",66,1,0,7,7,2,4,2
"214",77,1,1,1,4,6,10,3
"215",63,1,1,7,5,2,20,2
"216",76,0,0,2,4,1,5,3
"217",50,1,0,4,6,2,5,2
"218",18,0,0,2,4,2,1,3
"219",42,1,1,2,2,1,18,2
"220",51,1,1,4,4,5,17,2
"221",57,0,1,2,3,2,7,2
"222",61,1,0,7,6,3,9,4
"223",24,1,0,6,4,6,22,2
"224",67,1,0,2,3,6,19,2
"225",40,0,0,1,4,7,21,3
"226",53,1,0,2,2,7,20,1
"227",42,0,0,2,2,5,10,2
"228",51,0,0,1,4,5,1,4
"229",74,1,0,1,2,7,7,3
"230",48,1,0,4,3,3,4,1
"231",60,1,0,7,6,6,14,2
"232",73,1,1,7,6,7,1,3
"233",64,1,0,1,2,6,15,1
"234",29,0,0,3,4,3,4,4
"235",34,1,1,3,1,3,8,2
"236",31,1,0,2,4,7,19,2
"237",24,0,1,1,2,3,4,3
"238",56,1,1,1,4,5,18,2
"239",77,1,1,1,2,8,20,1
"240",27,0,0,1,2,3,15,2
"241",39,1,1,3,3,4,9,3
"242",51,1,1,7,6,4,16,2
"243",62,1,0,1,2,7,18,4
"244",44,1,0,5,5,6,21,2
"245",31,1,0,2,4,4,1,1
"246",51,1,0,2,4,3,8,2
"247",43,0,0,2,2,7,20,2
"248",28,0,1,4,4,4,8,4
"249",80,1,1,7,6,3,17,3
"250",79,1,0,4,4,4,10,1
"251",43,1,0,5,4,6,16,3
"252",55,1,1,7,6,7,15,3
"253",36,1,1,7,6,3,21,2
"254",57,0,0,1,2,8,21,2
"255",57,0,0,1,2,3,20,2
"256",38,1,1,1,2,7,19,3
"257",61,1,1,1,4,3,11,1
"258",35,1,0,6,5,4,9,3
"259",55,0,1,1,5,5,1,1
"260",51,1,0,4,4,3,7,3
"261",51,0,1,7,2,8,8,4
"262",52,1,0,7,6,6,10,2
"263",76,1,1,2,3,6,1,2
"264",80,0,0,1,4,1,6,2
"265",46,1,1,3,2,6,13,2
"266",47,1,0,1,4,8,20,2
"267",71,1,0,5,4,4,18,4
"268",52,0,0,5,6,4,9,2
"269",25,1,0,7,5,6,1,4
"270",61,1,1,1,6,2,11,3
"271",80,1,0,2,4,2,21,1
"272",32,1,0,6,4,7,20,3
"273",38,1,1,2,1,7,17,1
"274",80,1,0,1,4,2,8,2
"275",62,1,1,3,3,3,12,4
"276",29,1,0,6,4,5,13,3
"277",36,1,1,1,4,6,18,2
"278",56,1,0,3,4,7,14,3
"279",61,0,0,2,4,5,13,1
"280",36,1,1,6,5,6,12,2
"281",59,1,0,3,4,3,11,4
"282",49,1,0,1,4,2,6,2
"283",41,1,1,6,6,5,19,3
"284",51,1,0,6,6,3,1,3
"285",39,0,0,1,4,3,5,1
"286",62,1,0,5,6,6,12,3
"287",29,1,0,6,4,4,9,3
"288",69,1,0,1,2,6,16,3
"289",42,1,1,1,3,2,17,4
"290",74,1,1,7,7,2,12,4
"291",36,0,0,1,3,6,22,3
"292",74,1,1,5,5,8,16,2
"293",33,0,1,1,3,6,15,2
"294",54,0,0,3,5,5,17,3
"295",27,0,1,3,4,2,9,1
"296",80,1,1,6,6,1,10,3
"297",40,0,1,7,6,7,21,2
"298",46,0,0,5,4,6,16,1
"299",24,1,0,7,6,3,22,2
"300",46,1,0,7,5,6,19,2
